name,from,from_adm2,from_adm1,from_adm0,to,to_adm2,to_adm1,to_adm0,to_adm2_w_space,weight,male_under18,male_18to60,male_over60,female_under18,female_18to60,female_over60,
Macomia-Nangade,Macomia,Macomia,adm189,MOZ,Nangade_,Nangade,adm189,MOZ,Nangade_,18,2.7,3.6,2.7,2.7,3.6,2.7,
Macomia-Nipepe,Macomia,Macomia,adm190,MOZ,Nipepe_,Nipepe,adm190,MOZ,Nipepe_,3,0.45,0.6,0.45,0.45,0.6,0.45,
Macomia-Palma,Macomia,Macomia,adm191,MOZ,Palma_,Palma,adm191,MOZ,Palma_,14,2.1,2.8,2.1,2.1,2.8,2.1,
Macomia-Quissanga,Macomia,Macomia,adm192,MOZ,Quissanga_,Quissanga,adm192,MOZ,Quissanga_,9,1.35,1.8,1.35,1.35,1.8,1.35,
Marrupa-Ancuabe,Marrupa,Marrupa,adm193,MOZ,Ancuabe_,Ancuabe,adm193,MOZ,Ancuabe_,,,,,,,,
Marrupa-Balama,Marrupa,Marrupa,adm194,MOZ,Balama_,Balama,adm194,MOZ,Balama_,,,,,,,,
Marrupa-Chiure,Marrupa,Marrupa,adm195,MOZ,Chiure_,Chiure,adm195,MOZ,Chiure_,,,,,,,,
Marrupa-Cidade De Pemba,Marrupa,Marrupa,adm196,MOZ,Cidade_De_Pemba_,Cidade De Pemba,adm196,MOZ,Cidade_De_Pemba_,,,,,,,,
Marrupa-Erati,Marrupa,Marrupa,adm197,MOZ,Erati_,Erati,adm197,MOZ,Erati_,,,,,,,,
Marrupa-Ibo,Marrupa,Marrupa,adm198,MOZ,Ibo_,Ibo,adm198,MOZ,Ibo_,,,,,,,,
Marrupa-Lalaua,Marrupa,Marrupa,adm199,MOZ,Lalaua_,Lalaua,adm199,MOZ,Lalaua_,,,,,,,,
Marrupa-Macomia,Marrupa,Marrupa,adm200,MOZ,Macomia_,Macomia,adm200,MOZ,Macomia_,,,,,,,,
Marrupa-Marrupa,Marrupa,Marrupa,adm201,MOZ,Marrupa_,Marrupa,adm201,MOZ,Marrupa_,,,,,,,,
Marrupa-Mecuburi,Marrupa,Marrupa,adm202,MOZ,Mecuburi_,Mecuburi,adm202,MOZ,Mecuburi_,,,,,,,,
Marrupa-Mecufi,Marrupa,Marrupa,adm203,MOZ,Mecufi_,Mecufi,adm203,MOZ,Mecufi_,,,,,,,,
Marrupa-Mecula,Marrupa,Marrupa,adm204,MOZ,Mecula_,Mecula,adm204,MOZ,Mecula_,,,,,,,,
Marrupa-Meluco,Marrupa,Marrupa,adm205,MOZ,Meluco_,Meluco,adm205,MOZ,Meluco_,,,,,,,,
Marrupa-Memba,Marrupa,Marrupa,adm206,MOZ,Memba_,Memba,adm206,MOZ,Memba_,,,,,,,,
Marrupa-Metuge,Marrupa,Marrupa,adm207,MOZ,Metuge_,Metuge,adm207,MOZ,Metuge_,,,,,,,,
Marrupa-Mocimboa Da Praia,Marrupa,Marrupa,adm208,MOZ,Mocimboa_Da_Praia_,Mocimboa Da Praia,adm208,MOZ,Mocimboa_Da_Praia_,,,,,,,,
Marrupa-Montepuez,Marrupa,Marrupa,adm209,MOZ,Montepuez_,Montepuez,adm209,MOZ,Montepuez_,,,,,,,,
Marrupa-Mueda,Marrupa,Marrupa,adm210,MOZ,Mueda_,Mueda,adm210,MOZ,Mueda_,,,,,,,,
Marrupa-Muidumbe,Marrupa,Marrupa,adm211,MOZ,Muidumbe_,Muidumbe,adm211,MOZ,Muidumbe_,,,,,,,,
Marrupa-Namuno,Marrupa,Marrupa,adm212,MOZ,Namuno_,Namuno,adm212,MOZ,Namuno_,,,,,,,,
Marrupa-Nangade,Marrupa,Marrupa,adm213,MOZ,Nangade_,Nangade,adm213,MOZ,Nangade_,,,,,,,,
Marrupa-Nipepe,Marrupa,Marrupa,adm214,MOZ,Nipepe_,Nipepe,adm214,MOZ,Nipepe_,,,,,,,,
Marrupa-Palma,Marrupa,Marrupa,adm215,MOZ,Palma_,Palma,adm215,MOZ,Palma_,,,,,,,,
Marrupa-Quissanga,Marrupa,Marrupa,adm216,MOZ,Quissanga_,Quissanga,adm216,MOZ,Quissanga_,,,,,,,,
Mecuburi-Ancuabe,Mecuburi,Mecuburi,adm217,MOZ,Ancuabe_,Ancuabe,adm217,MOZ,Ancuabe_,,,,,,,,
Mecuburi-Balama,Mecuburi,Mecuburi,adm218,MOZ,Balama_,Balama,adm218,MOZ,Balama_,,,,,,,,
Mecuburi-Chiure,Mecuburi,Mecuburi,adm219,MOZ,Chiure_,Chiure,adm219,MOZ,Chiure_,,,,,,,,
Mecuburi-Cidade De Pemba,Mecuburi,Mecuburi,adm220,MOZ,Cidade_De_Pemba_,Cidade De Pemba,adm220,MOZ,Cidade_De_Pemba_,,,,,,,,
Mecuburi-Erati,Mecuburi,Mecuburi,adm221,MOZ,Erati_,Erati,adm221,MOZ,Erati_,,,,,,,,
Mecuburi-Ibo,Mecuburi,Mecuburi,adm222,MOZ,Ibo_,Ibo,adm222,MOZ,Ibo_,,,,,,,,
Mecuburi-Lalaua,Mecuburi,Mecuburi,adm223,MOZ,Lalaua_,Lalaua,adm223,MOZ,Lalaua_,,,,,,,,
Mecuburi-Macomia,Mecuburi,Mecuburi,adm224,MOZ,Macomia_,Macomia,adm224,MOZ,Macomia_,,,,,,,,
Mecuburi-Marrupa,Mecuburi,Mecuburi,adm225,MOZ,Marrupa_,Marrupa,adm225,MOZ,Marrupa_,,,,,,,,
Mecuburi-Mecuburi,Mecuburi,Mecuburi,adm226,MOZ,Mecuburi_,Mecuburi,adm226,MOZ,Mecuburi_,,,,,,,,
Mecuburi-Mecufi,Mecuburi,Mecuburi,adm227,MOZ,Mecufi_,Mecufi,adm227,MOZ,Mecufi_,,,,,,,,
Mecuburi-Mecula,Mecuburi,Mecuburi,adm228,MOZ,Mecula_,Mecula,adm228,MOZ,Mecula_,,,,,,,,
Mecuburi-Meluco,Mecuburi,Mecuburi,adm229,MOZ,Meluco_,Meluco,adm229,MOZ,Meluco_,,,,,,,,
Mecuburi-Memba,Mecuburi,Mecuburi,adm230,MOZ,Memba_,Memba,adm230,MOZ,Memba_,,,,,,,,
Mecuburi-Metuge,Mecuburi,Mecuburi,adm231,MOZ,Metuge_,Metuge,adm231,MOZ,Metuge_,,,,,,,,
Mecuburi-Mocimboa Da Praia,Mecuburi,Mecuburi,adm232,MOZ,Mocimboa_Da_Praia_,Mocimboa Da Praia,adm232,MOZ,Mocimboa_Da_Praia_,,,,,,,,
Mecuburi-Montepuez,Mecuburi,Mecuburi,adm233,MOZ,Montepuez_,Montepuez,adm233,MOZ,Montepuez_,,,,,,,,
Mecuburi-Mueda,Mecuburi,Mecuburi,adm234,MOZ,Mueda_,Mueda,adm234,MOZ,Mueda_,,,,,,,,
Mecuburi-Muidumbe,Mecuburi,Mecuburi,adm235,MOZ,Muidumbe_,Muidumbe,adm235,MOZ,Muidumbe_,,,,,,,,
Mecuburi-Namuno,Mecuburi,Mecuburi,adm236,MOZ,Namuno_,Namuno,adm236,MOZ,Namuno_,,,,,,,,
Mecuburi-Nangade,Mecuburi,Mecuburi,adm237,MOZ,Nangade_,Nangade,adm237,MOZ,Nangade_,,,,,,,,
Mecuburi-Nipepe,Mecuburi,Mecuburi,adm238,MOZ,Nipepe_,Nipepe,adm238,MOZ,Nipepe_,,,,,,,,
Mecuburi-Palma,Mecuburi,Mecuburi,adm239,MOZ,Palma_,Palma,adm239,MOZ,Palma_,,,,,,,,
Mecuburi-Quissanga,Mecuburi,Mecuburi,adm240,MOZ,Quissanga_,Quissanga,adm240,MOZ,Quissanga_,,,,,,,,
Mecufi-Ancuabe,Mecufi,Mecufi,adm241,MOZ,Ancuabe_,Ancuabe,adm241,MOZ,Ancuabe_,,,,,,,,
Mecufi-Balama,Mecufi,Mecufi,adm242,MOZ,Balama_,Balama,adm242,MOZ,Balama_,,,,,,,,
Mecufi-Chiure,Mecufi,Mecufi,adm243,MOZ,Chiure_,Chiure,adm243,MOZ,Chiure_,,,,,,,,
Mecufi-Cidade De Pemba,Mecufi,Mecufi,adm244,MOZ,Cidade_De_Pemba_,Cidade De Pemba,adm244,MOZ,Cidade_De_Pemba_,,,,,,,,
Mecufi-Erati,Mecufi,Mecufi,adm245,MOZ,Erati_,Erati,adm245,MOZ,Erati_,,,,,,,,
Mecufi-Ibo,Mecufi,Mecufi,adm246,MOZ,Ibo_,Ibo,adm246,MOZ,Ibo_,,,,,,,,
Mecufi-Lalaua,Mecufi,Mecufi,adm247,MOZ,Lalaua_,Lalaua,adm247,MOZ,Lalaua_,,,,,,,,
Mecufi-Macomia,Mecufi,Mecufi,adm248,MOZ,Macomia_,Macomia,adm248,MOZ,Macomia_,,,,,,,,
Mecufi-Marrupa,Mecufi,Mecufi,adm249,MOZ,Marrupa_,Marrupa,adm249,MOZ,Marrupa_,,,,,,,,
Mecufi-Mecuburi,Mecufi,Mecufi,adm250,MOZ,Mecuburi_,Mecuburi,adm250,MOZ,Mecuburi_,,,,,,,,
Mecufi-Mecufi,Mecufi,Mecufi,adm251,MOZ,Mecufi_,Mecufi,adm251,MOZ,Mecufi_,,,,,,,,
Mecufi-Mecula,Mecufi,Mecufi,adm252,MOZ,Mecula_,Mecula,adm252,MOZ,Mecula_,,,,,,,,
Mecufi-Meluco,Mecufi,Mecufi,adm253,MOZ,Meluco_,Meluco,adm253,MOZ,Meluco_,,,,,,,,
Mecufi-Memba,Mecufi,Mecufi,adm254,MOZ,Memba_,Memba,adm254,MOZ,Memba_,,,,,,,,
Mecufi-Metuge,Mecufi,Mecufi,adm255,MOZ,Metuge_,Metuge,adm255,MOZ,Metuge_,,,,,,,,
Mecufi-Mocimboa Da Praia,Mecufi,Mecufi,adm256,MOZ,Mocimboa_Da_Praia_,Mocimboa Da Praia,adm256,MOZ,Mocimboa_Da_Praia_,,,,,,,,
Mecufi-Montepuez,Mecufi,Mecufi,adm257,MOZ,Montepuez_,Montepuez,adm257,MOZ,Montepuez_,,,,,,,,
Mecufi-Mueda,Mecufi,Mecufi,adm258,MOZ,Mueda_,Mueda,adm258,MOZ,Mueda_,,,,,,,,
Mecufi-Muidumbe,Mecufi,Mecufi,adm259,MOZ,Muidumbe_,Muidumbe,adm259,MOZ,Muidumbe_,,,,,,,,
Mecufi-Namuno,Mecufi,Mecufi,adm260,MOZ,Namuno_,Namuno,adm260,MOZ,Namuno_,,,,,,,,
Mecufi-Nangade,Mecufi,Mecufi,adm261,MOZ,Nangade_,Nangade,adm261,MOZ,Nangade_,,,,,,,,
Mecufi-Nipepe,Mecufi,Mecufi,adm262,MOZ,Nipepe_,Nipepe,adm262,MOZ,Nipepe_,,,,,,,,
Mecufi-Palma,Mecufi,Mecufi,adm263,MOZ,Palma_,Palma,adm263,MOZ,Palma_,,,,,,,,
Mecufi-Quissanga,Mecufi,Mecufi,adm264,MOZ,Quissanga_,Quissanga,adm264,MOZ,Quissanga_,,,,,,,,
Mecula-Ancuabe,Mecula,Mecula,adm265,MOZ,Ancuabe_,Ancuabe,adm265,MOZ,Ancuabe_,,,,,,,,
Mecula-Balama,Mecula,Mecula,adm266,MOZ,Balama_,Balama,adm266,MOZ,Balama_,,,,,,,,
Mecula-Chiure,Mecula,Mecula,adm267,MOZ,Chiure_,Chiure,adm267,MOZ,Chiure_,,,,,,,,
Mecula-Cidade De Pemba,Mecula,Mecula,adm268,MOZ,Cidade_De_Pemba_,Cidade De Pemba,adm268,MOZ,Cidade_De_Pemba_,,,,,,,,
Mecula-Erati,Mecula,Mecula,adm269,MOZ,Erati_,Erati,adm269,MOZ,Erati_,,,,,,,,
Mecula-Ibo,Mecula,Mecula,adm270,MOZ,Ibo_,Ibo,adm270,MOZ,Ibo_,,,,,,,,
Mecula-Lalaua,Mecula,Mecula,adm271,MOZ,Lalaua_,Lalaua,adm271,MOZ,Lalaua_,,,,,,,,
Mecula-Macomia,Mecula,Mecula,adm272,MOZ,Macomia_,Macomia,adm272,MOZ,Macomia_,,,,,,,,
Mecula-Marrupa,Mecula,Mecula,adm273,MOZ,Marrupa_,Marrupa,adm273,MOZ,Marrupa_,,,,,,,,
Mecula-Mecuburi,Mecula,Mecula,adm274,MOZ,Mecuburi_,Mecuburi,adm274,MOZ,Mecuburi_,,,,,,,,
Mecula-Mecufi,Mecula,Mecula,adm275,MOZ,Mecufi_,Mecufi,adm275,MOZ,Mecufi_,,,,,,,,
Mecula-Mecula,Mecula,Mecula,adm276,MOZ,Mecula_,Mecula,adm276,MOZ,Mecula_,,,,,,,,
Mecula-Meluco,Mecula,Mecula,adm277,MOZ,Meluco_,Meluco,adm277,MOZ,Meluco_,,,,,,,,
Mecula-Memba,Mecula,Mecula,adm278,MOZ,Memba_,Memba,adm278,MOZ,Memba_,,,,,,,,
Mecula-Metuge,Mecula,Mecula,adm279,MOZ,Metuge_,Metuge,adm279,MOZ,Metuge_,,,,,,,,
Mecula-Mocimboa Da Praia,Mecula,Mecula,adm280,MOZ,Mocimboa_Da_Praia_,Mocimboa Da Praia,adm280,MOZ,Mocimboa_Da_Praia_,,,,,,,,
Mecula-Montepuez,Mecula,Mecula,adm281,MOZ,Montepuez_,Montepuez,adm281,MOZ,Montepuez_,,,,,,,,
Mecula-Mueda,Mecula,Mecula,adm282,MOZ,Mueda_,Mueda,adm282,MOZ,Mueda_,,,,,,,,
Mecula-Muidumbe,Mecula,Mecula,adm283,MOZ,Muidumbe_,Muidumbe,adm283,MOZ,Muidumbe_,,,,,,,,
Mecula-Namuno,Mecula,Mecula,adm284,MOZ,Namuno_,Namuno,adm284,MOZ,Namuno_,,,,,,,,
Mecula-Nangade,Mecula,Mecula,adm285,MOZ,Nangade_,Nangade,adm285,MOZ,Nangade_,,,,,,,,
Mecula-Nipepe,Mecula,Mecula,adm286,MOZ,Nipepe_,Nipepe,adm286,MOZ,Nipepe_,,,,,,,,
Mecula-Palma,Mecula,Mecula,adm287,MOZ,Palma_,Palma,adm287,MOZ,Palma_,,,,,,,,
Mecula-Quissanga,Mecula,Mecula,adm288,MOZ,Quissanga_,Quissanga,adm288,MOZ,Quissanga_,,,,,,,,
Meluco-Ancuabe,Meluco,Meluco,adm289,MOZ,Ancuabe_,Ancuabe,adm289,MOZ,Ancuabe_,34,5.1,6.8,5.1,5.1,6.8,5.1,
Meluco-Balama,Meluco,Meluco,adm290,MOZ,Balama_,Balama,adm290,MOZ,Balama_,41,6.15,8.2,6.15,6.15,8.2,6.15,
Meluco-Chiure,Meluco,Meluco,adm291,MOZ,Chiure_,Chiure,adm291,MOZ,Chiure_,64,9.6,12.8,9.6,9.6,12.8,9.6,
Meluco-Cidade De Pemba,Meluco,Meluco,adm292,MOZ,Cidade_De_Pemba_,Cidade De Pemba,adm292,MOZ,Cidade_De_Pemba_,66,9.9,13.2,9.9,9.9,13.2,9.9,
Meluco-Erati,Meluco,Meluco,adm293,MOZ,Erati_,Erati,adm293,MOZ,Erati_,53,7.95,10.6,7.95,7.95,10.6,7.95,
Meluco-Ibo,Meluco,Meluco,adm294,MOZ,Ibo_,Ibo,adm294,MOZ,Ibo_,4,0.6,0.8,0.6,0.6,0.8,0.6,
Meluco-Lalaua,Meluco,Meluco,adm295,MOZ,Lalaua_,Lalaua,adm295,MOZ,Lalaua_,6,0.9,1.2,0.9,0.9,1.2,0.9,
Meluco-Macomia,Meluco,Meluco,adm296,MOZ,Macomia_,Macomia,adm296,MOZ,Macomia_,25,3.75,5,3.75,3.75,5,3.75,
Meluco-Marrupa,Meluco,Meluco,adm297,MOZ,Marrupa_,Marrupa,adm297,MOZ,Marrupa_,1,0.15,0.2,0.15,0.15,0.2,0.15,
Meluco-Mecuburi,Meluco,Meluco,adm298,MOZ,Mecuburi_,Mecuburi,adm298,MOZ,Mecuburi_,14,2.1,2.8,2.1,2.1,2.8,2.1,
Meluco-Mecufi,Meluco,Meluco,adm299,MOZ,Mecufi_,Mecufi,adm299,MOZ,Mecufi_,15,2.25,3,2.25,2.25,3,2.25,
Meluco-Mecula,Meluco,Meluco,adm300,MOZ,Mecula_,Mecula,adm300,MOZ,Mecula_,1,0.15,0.2,0.15,0.15,0.2,0.15,
Meluco-Meluco,Meluco,Meluco,adm301,MOZ,Meluco_,Meluco,adm301,MOZ,Meluco_,7,1.05,1.4,1.05,1.05,1.4,1.05,
Meluco-Memba,Meluco,Meluco,adm302,MOZ,Memba_,Memba,adm302,MOZ,Memba_,5,0.75,1,0.75,0.75,1,0.75,
Meluco-Metuge,Meluco,Meluco,adm303,MOZ,Metuge_,Metuge,adm303,MOZ,Metuge_,25,3.75,5,3.75,3.75,5,3.75,
Meluco-Mocimboa Da Praia,Meluco,Meluco,adm304,MOZ,Mocimboa_Da_Praia_,Mocimboa Da Praia,adm304,MOZ,Mocimboa_Da_Praia_,30,4.5,6,4.5,4.5,6,4.5,
Meluco-Montepuez,Meluco,Meluco,adm305,MOZ,Montepuez_,Montepuez,adm305,MOZ,Montepuez_,70,10.5,14,10.5,10.5,14,10.5,
Meluco-Mueda,Meluco,Meluco,adm306,MOZ,Mueda_,Mueda,adm306,MOZ,Mueda_,39,5.85,7.8,5.85,5.85,7.8,5.85,
Meluco-Muidumbe,Meluco,Meluco,adm307,MOZ,Muidumbe_,Muidumbe,adm307,MOZ,Muidumbe_,22,3.3,4.4,3.3,3.3,4.4,3.3,
Meluco-Namuno,Meluco,Meluco,adm308,MOZ,Namuno_,Namuno,adm308,MOZ,Namuno_,63,9.45,12.6,9.45,9.45,12.6,9.45,
Meluco-Nangade,Meluco,Meluco,adm309,MOZ,Nangade_,Nangade,adm309,MOZ,Nangade_,23,3.45,4.6,3.45,3.45,4.6,3.45,
Meluco-Nipepe,Meluco,Meluco,adm310,MOZ,Nipepe_,Nipepe,adm310,MOZ,Nipepe_,3,0.45,0.6,0.45,0.45,0.6,0.45,
Meluco-Palma,Meluco,Meluco,adm311,MOZ,Palma_,Palma,adm311,MOZ,Palma_,18,2.7,3.6,2.7,2.7,3.6,2.7,
Meluco-Quissanga,Meluco,Meluco,adm312,MOZ,Quissanga_,Quissanga,adm312,MOZ,Quissanga_,12,1.8,2.4,1.8,1.8,2.4,1.8,
Memba-Ancuabe,Memba,Memba,adm313,MOZ,Ancuabe_,Ancuabe,adm313,MOZ,Ancuabe_,,,,,,,,
Memba-Balama,Memba,Memba,adm314,MOZ,Balama_,Balama,adm314,MOZ,Balama_,,,,,,,,
Memba-Chiure,Memba,Memba,adm315,MOZ,Chiure_,Chiure,adm315,MOZ,Chiure_,,,,,,,,
Memba-Cidade De Pemba,Memba,Memba,adm316,MOZ,Cidade_De_Pemba_,Cidade De Pemba,adm316,MOZ,Cidade_De_Pemba_,,,,,,,,
Memba-Erati,Memba,Memba,adm317,MOZ,Erati_,Erati,adm317,MOZ,Erati_,,,,,,,,
Memba-Ibo,Memba,Memba,adm318,MOZ,Ibo_,Ibo,adm318,MOZ,Ibo_,,,,,,,,
Memba-Lalaua,Memba,Memba,adm319,MOZ,Lalaua_,Lalaua,adm319,MOZ,Lalaua_,,,,,,,,
Memba-Macomia,Memba,Memba,adm320,MOZ,Macomia_,Macomia,adm320,MOZ,Macomia_,,,,,,,,
Memba-Marrupa,Memba,Memba,adm321,MOZ,Marrupa_,Marrupa,adm321,MOZ,Marrupa_,,,,,,,,
Memba-Mecuburi,Memba,Memba,adm322,MOZ,Mecuburi_,Mecuburi,adm322,MOZ,Mecuburi_,,,,,,,,
Memba-Mecufi,Memba,Memba,adm323,MOZ,Mecufi_,Mecufi,adm323,MOZ,Mecufi_,,,,,,,,
Memba-Mecula,Memba,Memba,adm324,MOZ,Mecula_,Mecula,adm324,MOZ,Mecula_,,,,,,,,
Memba-Meluco,Memba,Memba,adm325,MOZ,Meluco_,Meluco,adm325,MOZ,Meluco_,,,,,,,,
Memba-Memba,Memba,Memba,adm326,MOZ,Memba_,Memba,adm326,MOZ,Memba_,,,,,,,,
Memba-Metuge,Memba,Memba,adm327,MOZ,Metuge_,Metuge,adm327,MOZ,Metuge_,,,,,,,,
Memba-Mocimboa Da Praia,Memba,Memba,adm328,MOZ,Mocimboa_Da_Praia_,Mocimboa Da Praia,adm328,MOZ,Mocimboa_Da_Praia_,,,,,,,,
Memba-Montepuez,Memba,Memba,adm329,MOZ,Montepuez_,Montepuez,adm329,MOZ,Montepuez_,,,,,,,,
Memba-Mueda,Memba,Memba,adm330,MOZ,Mueda_,Mueda,adm330,MOZ,Mueda_,,,,,,,,
Memba-Muidumbe,Memba,Memba,adm331,MOZ,Muidumbe_,Muidumbe,adm331,MOZ,Muidumbe_,,,,,,,,
Memba-Namuno,Memba,Memba,adm332,MOZ,Namuno_,Namuno,adm332,MOZ,Namuno_,,,,,,,,
Memba-Nangade,Memba,Memba,adm333,MOZ,Nangade_,Nangade,adm333,MOZ,Nangade_,,,,,,,,
Memba-Nipepe,Memba,Memba,adm334,MOZ,Nipepe_,Nipepe,adm334,MOZ,Nipepe_,,,,,,,,
Memba-Palma,Memba,Memba,adm335,MOZ,Palma_,Palma,adm335,MOZ,Palma_,,,,,,,,
Memba-Quissanga,Memba,Memba,adm336,MOZ,Quissanga_,Quissanga,adm336,MOZ,Quissanga_,,,,,,,,
Metuge-Ancuabe,Metuge,Metuge,adm337,MOZ,Ancuabe_,Ancuabe,adm337,MOZ,Ancuabe_,,,,,,,,
Metuge-Balama,Metuge,Metuge,adm338,MOZ,Balama_,Balama,adm338,MOZ,Balama_,,,,,,,,
Metuge-Chiure,Metuge,Metuge,adm339,MOZ,Chiure_,Chiure,adm339,MOZ,Chiure_,,,,,,,,
Metuge-Cidade De Pemba,Metuge,Metuge,adm340,MOZ,Cidade_De_Pemba_,Cidade De Pemba,adm340,MOZ,Cidade_De_Pemba_,,,,,,,,
Metuge-Erati,Metuge,Metuge,adm341,MOZ,Erati_,Erati,adm341,MOZ,Erati_,,,,,,,,
Metuge-Ibo,Metuge,Metuge,adm342,MOZ,Ibo_,Ibo,adm342,MOZ,Ibo_,,,,,,,,
Metuge-Lalaua,Metuge,Metuge,adm343,MOZ,Lalaua_,Lalaua,adm343,MOZ,Lalaua_,,,,,,,,
Metuge-Macomia,Metuge,Metuge,adm344,MOZ,Macomia_,Macomia,adm344,MOZ,Macomia_,,,,,,,,
Metuge-Marrupa,Metuge,Metuge,adm345,MOZ,Marrupa_,Marrupa,adm345,MOZ,Marrupa_,,,,,,,,
Metuge-Mecuburi,Metuge,Metuge,adm346,MOZ,Mecuburi_,Mecuburi,adm346,MOZ,Mecuburi_,,,,,,,,
Metuge-Mecufi,Metuge,Metuge,adm347,MOZ,Mecufi_,Mecufi,adm347,MOZ,Mecufi_,,,,,,,,
Metuge-Mecula,Metuge,Metuge,adm348,MOZ,Mecula_,Mecula,adm348,MOZ,Mecula_,,,,,,,,
Metuge-Meluco,Metuge,Metuge,adm349,MOZ,Meluco_,Meluco,adm349,MOZ,Meluco_,,,,,,,,
Metuge-Memba,Metuge,Metuge,adm350,MOZ,Memba_,Memba,adm350,MOZ,Memba_,,,,,,,,
Metuge-Metuge,Metuge,Metuge,adm351,MOZ,Metuge_,Metuge,adm351,MOZ,Metuge_,,,,,,,,
Metuge-Mocimboa Da Praia,Metuge,Metuge,adm352,MOZ,Mocimboa_Da_Praia_,Mocimboa Da Praia,adm352,MOZ,Mocimboa_Da_Praia_,,,,,,,,
Metuge-Montepuez,Metuge,Metuge,adm353,MOZ,Montepuez_,Montepuez,adm353,MOZ,Montepuez_,,,,,,,,
Metuge-Mueda,Metuge,Metuge,adm354,MOZ,Mueda_,Mueda,adm354,MOZ,Mueda_,,,,,,,,
Metuge-Muidumbe,Metuge,Metuge,adm355,MOZ,Muidumbe_,Muidumbe,adm355,MOZ,Muidumbe_,,,,,,,,
Metuge-Namuno,Metuge,Metuge,adm356,MOZ,Namuno_,Namuno,adm356,MOZ,Namuno_,,,,,,,,
Metuge-Nangade,Metuge,Metuge,adm357,MOZ,Nangade_,Nangade,adm357,MOZ,Nangade_,,,,,,,,
Metuge-Nipepe,Metuge,Metuge,adm358,MOZ,Nipepe_,Nipepe,adm358,MOZ,Nipepe_,,,,,,,,
Metuge-Palma,Metuge,Metuge,adm359,MOZ,Palma_,Palma,adm359,MOZ,Palma_,,,,,,,,
Metuge-Quissanga,Metuge,Metuge,adm360,MOZ,Quissanga_,Quissanga,adm360,MOZ,Quissanga_,,,,,,,,
Mocimboa Da Praia-Ancuabe,Mocimboa Da Praia,Mocimboa Da Praia,adm361,MOZ,Ancuabe_,Ancuabe,adm361,MOZ,Ancuabe_,,,,,,,,
Mocimboa Da Praia-Balama,Mocimboa Da Praia,Mocimboa Da Praia,adm362,MOZ,Balama_,Balama,adm362,MOZ,Balama_,,,,,,,,
Mocimboa Da Praia-Chiure,Mocimboa Da Praia,Mocimboa Da Praia,adm363,MOZ,Chiure_,Chiure,adm363,MOZ,Chiure_,,,,,,,,
Mocimboa Da Praia-Cidade De Pemba,Mocimboa Da Praia,Mocimboa Da Praia,adm364,MOZ,Cidade_De_Pemba_,Cidade De Pemba,adm364,MOZ,Cidade_De_Pemba_,,,,,,,,
Mocimboa Da Praia-Erati,Mocimboa Da Praia,Mocimboa Da Praia,adm365,MOZ,Erati_,Erati,adm365,MOZ,Erati_,,,,,,,,
Mocimboa Da Praia-Ibo,Mocimboa Da Praia,Mocimboa Da Praia,adm366,MOZ,Ibo_,Ibo,adm366,MOZ,Ibo_,,,,,,,,
Mocimboa Da Praia-Lalaua,Mocimboa Da Praia,Mocimboa Da Praia,adm367,MOZ,Lalaua_,Lalaua,adm367,MOZ,Lalaua_,,,,,,,,
Mocimboa Da Praia-Macomia,Mocimboa Da Praia,Mocimboa Da Praia,adm368,MOZ,Macomia_,Macomia,adm368,MOZ,Macomia_,,,,,,,,
Mocimboa Da Praia-Marrupa,Mocimboa Da Praia,Mocimboa Da Praia,adm369,MOZ,Marrupa_,Marrupa,adm369,MOZ,Marrupa_,,,,,,,,
Mocimboa Da Praia-Mecuburi,Mocimboa Da Praia,Mocimboa Da Praia,adm370,MOZ,Mecuburi_,Mecuburi,adm370,MOZ,Mecuburi_,,,,,,,,
Mocimboa Da Praia-Mecufi,Mocimboa Da Praia,Mocimboa Da Praia,adm371,MOZ,Mecufi_,Mecufi,adm371,MOZ,Mecufi_,,,,,,,,
Mocimboa Da Praia-Mecula,Mocimboa Da Praia,Mocimboa Da Praia,adm372,MOZ,Mecula_,Mecula,adm372,MOZ,Mecula_,,,,,,,,
Mocimboa Da Praia-Meluco,Mocimboa Da Praia,Mocimboa Da Praia,adm373,MOZ,Meluco_,Meluco,adm373,MOZ,Meluco_,,,,,,,,
Mocimboa Da Praia-Memba,Mocimboa Da Praia,Mocimboa Da Praia,adm374,MOZ,Memba_,Memba,adm374,MOZ,Memba_,,,,,,,,
Mocimboa Da Praia-Metuge,Mocimboa Da Praia,Mocimboa Da Praia,adm375,MOZ,Metuge_,Metuge,adm375,MOZ,Metuge_,,,,,,,,
Mocimboa Da Praia-Mocimboa Da Praia,Mocimboa Da Praia,Mocimboa Da Praia,adm376,MOZ,Mocimboa_Da_Praia_,Mocimboa Da Praia,adm376,MOZ,Mocimboa_Da_Praia_,,,,,,,,
Mocimboa Da Praia-Montepuez,Mocimboa Da Praia,Mocimboa Da Praia,adm377,MOZ,Montepuez_,Montepuez,adm377,MOZ,Montepuez_,,,,,,,,
Mocimboa Da Praia-Mueda,Mocimboa Da Praia,Mocimboa Da Praia,adm378,MOZ,Mueda_,Mueda,adm378,MOZ,Mueda_,,,,,,,,
Mocimboa Da Praia-Muidumbe,Mocimboa Da Praia,Mocimboa Da Praia,adm379,MOZ,Muidumbe_,Muidumbe,adm379,MOZ,Muidumbe_,,,,,,,,
